Certifications,Job Postings,%,code
SECURITY CLEARANCE,6713,4.03,15-1121
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),4348,2.61,15-1121
IT INFRASTRUCTURE LIBRARY,1373,0.82,15-1121
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),1338,0.8,15-1121
SECURITY+,1102,0.66,15-1121
CERTIFIED A+ TECHNICIAN,919,0.55,15-1121
CISCO CERTIFIED NETWORK ASSOCIATE,788,0.47,15-1121
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),699,0.42,15-1121
NETWORK+ CERTIFIED,617,0.37,15-1121
SANS/GIAC CERTIFICATION,607,0.36,15-1121
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),516,0.31,15-1121
SIX SIGMA CERTIFICATION,496,0.3,15-1121
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),480,0.29,15-1121
EPIC CERTIFICATION,466,0.28,15-1121
SCRUM,417,0.25,15-1121
CERTIFIED INFORMATION SECURITY MANAGER (CISM),393,0.24,15-1121
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),385,0.23,15-1121
MICROSOFT CERTIFIED PROFESSIONAL (MCP),362,0.22,15-1121
BUSINESS ANALYSIS CERTIFICATE,361,0.22,15-1121
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),317,0.19,15-1121
TOGAF,241,0.14,15-1121
CERTIFIED BUSINESS ANALYSIS PROFESSIONAL,230,0.14,15-1121
SAP CERTIFICATION,227,0.14,15-1121
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,208,0.12,15-1121
CERTIFIED SCRUM PROFESSIONAL,206,0.12,15-1121
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),181,0.11,15-1121
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,175,0.11,15-1121
CERTIFIED SENIOR SYSTEM ARCHITECT,171,0.1,15-1121
SIX SIGMA GREEN BELT,167,0.1,15-1121
SYSTEMS SECURITY CERTIFIED PRACTITIONER,164,0.1,15-1121
INVESTMENT ADVISOR,163,0.1,15-1121
CERTIFIED LEAD SYSTEM ARCHITECT,154,0.09,15-1121
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),149,0.09,15-1121
CERTIFIED NOVELL ADMINISTRATOR,146,0.09,15-1121
AGILE CERTIFICATION,145,0.09,15-1121
CERTIFIED ADMINISTRATOR,139,0.08,15-1121
