Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Management occupations,11-0000,Job Categories,9533.1,10340.4,6.1,6.2,807.3,8.5,841.5,1.0,—,100790.0,—,—
Top executives,11-1000,Job Categories,2627.5,2824.5,1.7,1.7,197.0,7.5,235.0,2.0,—,102320.0,—,—
Chief executives,11-1011,Individual Jobs,308.9,296.8,0.2,0.2,-12.1,-3.9,20.0,3.0,Bachelor's degree,181210.0,5 years or more,None
General and operations managers,11-1021,Individual Jobs,2263.1,2468.3,1.5,1.5,205.2,9.1,210.7,3.0,Bachelor's degree,99310.0,5 years or more,None
Legislators,11-1031,Individual Jobs,55.5,59.4,0.0,0.0,3.9,7.1,4.4,3.0,Bachelor's degree,23470.0,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Job Categories,708.6,768.9,0.5,0.5,60.3,8.5,67.9,2.0,—,120420.0,—,—
Advertising and promotions managers,11-2011,Individual Jobs,31.3,33.0,0.0,0.0,1.7,5.5,3.4,3.0,Bachelor's degree,100810.0,Less than 5 years,None
Marketing and sales managers,11-2020,Job Categories,603.8,654.8,0.4,0.4,51.0,8.4,57.6,3.0,—,122930.0,—,—
Marketing managers,11-2021,Individual Jobs,218.3,240.4,0.1,0.1,22.1,10.1,21.3,4.0,Bachelor's degree,131180.0,5 years or more,None
Sales managers,11-2022,Individual Jobs,385.5,414.4,0.2,0.2,28.9,7.5,36.3,4.0,Bachelor's degree,117960.0,Less than 5 years,None
Public relations and fundraising managers,11-2031,Individual Jobs,73.5,81.1,0.0,0.0,7.7,10.4,6.9,3.0,Bachelor's degree,107320.0,5 years or more,None
Operations specialties managers,11-3000,Job Categories,1776.1,1985.0,1.1,1.2,208.9,11.8,160.4,2.0,—,112080.0,—,—
Administrative services managers,11-3011,Individual Jobs,281.7,310.2,0.2,0.2,28.5,10.1,26.2,3.0,Bachelor's degree,90050.0,Less than 5 years,None
Computer and information systems managers,11-3021,Individual Jobs,367.6,411.8,0.2,0.2,44.2,12.0,32.5,3.0,Bachelor's degree,135800.0,5 years or more,None
