O*NET-SOC Code,Element ID,Element Name,Data Value,Standard Error,Lower CI Bound,Upper CI Bound,Not Relevant,Date
11-1011,2.A.1.a,Reading Comprehension,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.A.1.b,Active Listening,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.A.1.c,Writing,4.0,0.00,4.00,4.00,n/a,07/2014
11-1011,2.A.1.d,Speaking,4.38,0.18,4.02,4.73,n/a,07/2014
11-1011,2.A.1.e,Mathematics,3.25,0.16,2.93,3.57,n/a,07/2014
11-1011,2.A.1.f,Science,1.88,0.13,1.63,2.12,n/a,07/2014
11-1011,2.A.2.a,Critical Thinking,4.38,0.18,4.02,4.73,n/a,07/2014
11-1011,2.A.2.b,Active Learning,4.0,0.00,4.00,4.00,n/a,07/2014
11-1011,2.A.2.c,Learning Strategies,3.12,0.13,2.88,3.37,n/a,07/2014
11-1011,2.A.2.d,Monitoring,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.B.1.a,Social Perceptiveness,4.25,0.16,3.93,4.57,n/a,07/2014
11-1011,2.B.1.b,Coordination,4.25,0.16,3.93,4.57,n/a,07/2014
11-1011,2.B.1.c,Persuasion,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.B.1.d,Negotiation,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.B.1.e,Instructing,3.12,0.13,2.88,3.37,n/a,07/2014
11-1011,2.B.1.f,Service Orientation,3.12,0.13,2.88,3.37,n/a,07/2014
11-1011,2.B.2.i,Complex Problem Solving,4.38,0.18,4.02,4.73,n/a,07/2014
11-1011,2.B.3.a,Operations Analysis,3.12,0.13,2.88,3.37,n/a,07/2014
11-1011,2.B.3.b,Technology Design,1.75,0.16,1.43,2.07,n/a,07/2014
11-1011,2.B.3.c,Equipment Selection,1.12,0.13,1.00,1.37,n/a,07/2014
11-1011,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2014
11-1011,2.B.3.e,Programming,1.62,0.18,1.27,1.98,n/a,07/2014
11-1011,2.B.3.g,Operation Monitoring,1.88,0.23,1.43,2.32,n/a,07/2014
11-1011,2.B.3.h,Operation and Control,1.75,0.16,1.43,2.07,n/a,07/2014
11-1011,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2014
11-1011,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2014
11-1011,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2014
11-1011,2.B.3.m,Quality Control Analysis,1.75,0.25,1.26,2.24,n/a,07/2014
11-1011,2.B.4.e,Judgment and Decision Making,4.5,0.19,4.13,4.87,n/a,07/2014
11-1011,2.B.4.g,Systems Analysis,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.B.4.h,Systems Evaluation,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.B.5.a,Time Management,4.0,0.00,4.00,4.00,n/a,07/2014
11-1011,2.B.5.b,Management of Financial Resources,4.12,0.13,3.88,4.37,n/a,07/2014
11-1011,2.B.5.c,Management of Material Resources,3.88,0.13,3.63,4.12,n/a,07/2014
11-1011,2.B.5.d,Management of Personnel Resources,4.25,0.16,3.93,4.57,n/a,07/2014
11-1011,2.A.1.a,Reading Comprehension,4.0,0.00,4.00,4.00,n/a,07/2013
11-1011,2.A.1.b,Active Listening,3.88,0.13,3.63,4.12,n/a,07/2013
11-1011,2.A.1.c,Writing,3.88,0.13,3.63,4.12,n/a,07/2013
11-1011,2.A.1.d,Speaking,4.0,0.00,4.00,4.00,n/a,07/2013
11-1011,2.A.1.e,Mathematics,2.75,0.16,2.43,3.07,n/a,07/2013
11-1011,2.A.1.f,Science,1.75,0.31,1.14,2.36,n/a,07/2013
11-1011,2.A.2.a,Critical Thinking,4.0,0.00,4.00,4.00,n/a,07/2013
11-1011,2.A.2.b,Active Learning,3.5,0.19,3.13,3.87,n/a,07/2013
11-1011,2.A.2.c,Learning Strategies,3.38,0.18,3.02,3.73,n/a,07/2013
11-1011,2.A.2.d,Monitoring,3.62,0.18,3.27,3.98,n/a,07/2013
11-1011,2.B.1.a,Social Perceptiveness,3.75,0.16,3.43,4.07,n/a,07/2013
11-1011,2.B.1.b,Coordination,3.62,0.18,3.27,3.98,n/a,07/2013
11-1011,2.B.1.c,Persuasion,3.62,0.18,3.27,3.98,n/a,07/2013
11-1011,2.B.1.d,Negotiation,2.88,0.13,2.63,3.12,n/a,07/2013
11-1011,2.B.1.e,Instructing,3.25,0.16,2.93,3.57,n/a,07/2013
11-1011,2.B.1.f,Service Orientation,3.25,0.25,2.76,3.74,n/a,07/2013
11-1011,2.B.2.i,Complex Problem Solving,4.0,0.00,4.00,4.00,n/a,07/2013
11-1011,2.B.3.a,Operations Analysis,2.62,0.26,2.11,3.14,n/a,07/2013
11-1011,2.B.3.b,Technology Design,1.62,0.32,1.00,2.26,n/a,07/2013
11-1011,2.B.3.c,Equipment Selection,1.12,0.13,1.00,1.37,n/a,07/2013
11-1011,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2013
11-1011,2.B.3.e,Programming,1.62,0.18,1.27,1.98,n/a,07/2013
11-1011,2.B.3.g,Operation Monitoring,2.25,0.25,1.76,2.74,n/a,07/2013
11-1011,2.B.3.h,Operation and Control,1.62,0.18,1.27,1.98,n/a,07/2013
11-1011,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2013
11-1011,2.B.3.k,Troubleshooting,1.12,0.13,1.00,1.37,n/a,07/2013
11-1011,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2013
11-1011,2.B.3.m,Quality Control Analysis,2.25,0.41,1.44,3.06,n/a,07/2013
11-1011,2.B.4.e,Judgment and Decision Making,3.75,0.16,3.43,4.07,n/a,07/2013
11-1011,2.B.4.g,Systems Analysis,3.62,0.26,3.11,4.14,n/a,07/2013
11-1011,2.B.4.h,Systems Evaluation,3.62,0.26,3.11,4.14,n/a,07/2013
11-1011,2.B.5.a,Time Management,3.38,0.26,2.86,3.89,n/a,07/2013
11-1011,2.B.5.b,Management of Financial Resources,2.62,0.18,2.27,2.98,n/a,07/2013
11-1011,2.B.5.c,Management of Material Resources,2.38,0.26,1.86,2.89,n/a,07/2013
11-1011,2.B.5.d,Management of Personnel Resources,3.38,0.18,3.02,3.73,n/a,07/2013
11-1021,2.A.1.a,Reading Comprehension,3.88,0.13,3.63,4.12,n/a,07/2015
11-1021,2.A.1.b,Active Listening,4.0,0.00,4.00,4.00,n/a,07/2015
11-1021,2.A.1.c,Writing,3.25,0.16,2.93,3.57,n/a,07/2015
11-1021,2.A.1.d,Speaking,4.0,0.00,4.00,4.00,n/a,07/2015
11-1021,2.A.1.e,Mathematics,2.38,0.18,2.02,2.73,n/a,07/2015
11-1021,2.A.1.f,Science,1.88,0.13,1.63,2.12,n/a,07/2015
11-1021,2.A.2.a,Critical Thinking,3.88,0.13,3.63,4.12,n/a,07/2015
11-1021,2.A.2.b,Active Learning,3.5,0.19,3.13,3.87,n/a,07/2015
11-1021,2.A.2.c,Learning Strategies,3.0,0.00,3.00,3.00,n/a,07/2015
11-1021,2.A.2.d,Monitoring,4.0,0.00,4.00,4.00,n/a,07/2015
11-1021,2.B.1.a,Social Perceptiveness,4.0,0.00,4.00,4.00,n/a,07/2015
11-1021,2.B.1.b,Coordination,4.0,0.00,4.00,4.00,n/a,07/2015
11-1021,2.B.1.c,Persuasion,3.38,0.18,3.02,3.73,n/a,07/2015
11-1021,2.B.1.d,Negotiation,3.62,0.18,3.27,3.98,n/a,07/2015
11-1021,2.B.1.e,Instructing,3.12,0.13,2.88,3.37,n/a,07/2015
11-1021,2.B.1.f,Service Orientation,3.25,0.16,2.93,3.57,n/a,07/2015
11-1021,2.B.2.i,Complex Problem Solving,3.5,0.19,3.13,3.87,n/a,07/2015
11-1021,2.B.3.a,Operations Analysis,2.75,0.16,2.43,3.07,n/a,07/2015
11-1021,2.B.3.b,Technology Design,1.88,0.13,1.63,2.12,n/a,07/2015
11-1021,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2015
11-1021,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2015
11-1021,2.B.3.e,Programming,1.5,0.19,1.13,1.87,n/a,07/2015
11-1021,2.B.3.g,Operation Monitoring,2.75,0.16,2.43,3.07,n/a,07/2015
11-1021,2.B.3.h,Operation and Control,2.0,0.00,2.00,2.00,n/a,07/2015
11-1021,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2015
11-1021,2.B.3.k,Troubleshooting,2.0,0.00,2.00,2.00,n/a,07/2015
11-1021,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2015
11-1021,2.B.3.m,Quality Control Analysis,2.38,0.18,2.02,2.73,n/a,07/2015
11-1021,2.B.4.e,Judgment and Decision Making,3.5,0.19,3.13,3.87,n/a,07/2015
11-1021,2.B.4.g,Systems Analysis,3.0,0.00,3.00,3.00,n/a,07/2015
11-1021,2.B.4.h,Systems Evaluation,3.0,0.19,2.63,3.37,n/a,07/2015
11-1021,2.B.5.a,Time Management,3.75,0.16,3.43,4.07,n/a,07/2015
11-1021,2.B.5.b,Management of Financial Resources,3.12,0.13,2.88,3.37,n/a,07/2015
11-1021,2.B.5.c,Management of Material Resources,3.25,0.16,2.93,3.57,n/a,07/2015
11-1021,2.B.5.d,Management of Personnel Resources,3.5,0.19,3.13,3.87,n/a,07/2015
11-2011,2.A.1.a,Reading Comprehension,3.75,0.16,3.43,4.07,n/a,06/2010
11-2011,2.A.1.b,Active Listening,4.0,0.27,3.48,4.52,n/a,06/2010
11-2011,2.A.1.c,Writing,3.75,0.16,3.43,4.07,n/a,06/2010
11-2011,2.A.1.d,Speaking,4.0,0.27,3.48,4.52,n/a,06/2010
